r,rho_user,rho_opar,rho_oho2,T_user,T_opar,T_oho2
0,0.123599,0.164344,0.146492,0.701854,0.843309,0.827946
0.05,0.123531,0.164237,0.146548,0.701716,0.843102,0.827858
0.1,0.123458,0.164114,0.146714,0.70131,0.842491,0.827591
0.15,0.123377,0.163973,0.146989,0.700642,0.841486,0.82714
0.2,0.123289,0.163813,0.147366,0.699713,0.840087,0.826493
0.25,0.123192,0.163634,0.14784,0.698522,0.838296,0.825638
0.3,0.123087,0.163433,0.148401,0.69707,0.836113,0.824558
0.35,0.122971,0.163209,0.149038,0.695357,0.833535,0.823231
0.4,0.122845,0.162961,0.149741,0.69338,0.830562,0.821634
0.45,0.122706,0.162687,0.150495,0.691138,0.827191,0.819742
0.5,0.122555,0.162385,0.151287,0.688629,0.82342,0.817526
0.55,0.12239,0.162053,0.1521,0.68585,0.819243,0.814957
0.6,0.12221,0.161689,0.152918,0.682799,0.814659,0.812003
0.65,0.122012,0.16129,0.153725,0.679473,0.809662,0.808634
0.7,0.121797,0.160854,0.154502,0.675868,0.804248,0.804818
0.75,0.121562,0.160377,0.155231,0.67198,0.798412,0.800524
0.8,0.121305,0.159857,0.155896,0.667807,0.792149,0.795721
0.85,0.121025,0.159291,0.156479,0.663343,0.785455,0.790382
0.9,0.120719,0.158675,0.156963,0.658585,0.778322,0.78448
0.95,0.120386,0.158005,0.15733,0.653528,0.770747,0.777991
1,0.120023,0.157277,0.157567,0.648168,0.762723,0.770893
1.05,0.119628,0.156487,0.157659,0.6425,0.754246,0.763168
1.1,0.119198,0.155631,0.157591,0.63652,0.74531,0.754803
1.15,0.11873,0.154703,0.157353,0.630223,0.735911,0.745787
1.2,0.118222,0.153698,0.156933,0.623604,0.726043,0.736113
1.25,0.11767,0.152612,0.156322,0.61666,0.715704,0.725781
1.3,0.11707,0.151438,0.155514,0.609385,0.704891,0.714792
1.35,0.116421,0.150172,0.154503,0.601777,0.693601,0.703154
1.4,0.115717,0.148808,0.153284,0.593831,0.681835,0.690878
1.45,0.114955,0.147339,0.151855,0.585545,0.669592,0.677982
1.5,0.114132,0.14576,0.150217,0.576917,0.656874,0.664486
1.55,0.113243,0.144065,0.14837,0.567944,0.643687,0.650415
1.6,0.112285,0.142249,0.146317,0.558626,0.630035,0.635799
1.65,0.111253,0.140306,0.144063,0.548964,0.615929,0.62067
1.7,0.110144,0.138233,0.141615,0.538959,0.601378,0.605066
1.75,0.108954,0.136023,0.138979,0.528614,0.586398,0.589025
1.8,0.107678,0.133674,0.136165,0.517932,0.571006,0.572591
1.85,0.106315,0.131184,0.133184,0.506922,0.555222,0.555809
1.9,0.104859,0.128549,0.130045,0.495589,0.539071,0.538726
1.95,0.103309,0.125771,0.126762,0.483945,0.522582,0.521391
2,0.101663,0.122849,0.123348,0.472001,0.505787,0.503855
2.05,0.0999172,0.119785,0.119817,0.459772,0.488721,0.486166
2.1,0.098072,0.116585,0.116183,0.447274,0.471424,0.468378
2.15,0.0961265,0.113252,0.11246,0.434528,0.45394,0.450541
2.2,0.0940813,0.109795,0.108664,0.421555,0.436317,0.432706
2.25,0.0919376,0.106223,0.104809,0.40838,0.418603,0.414922
2.3,0.0896977,0.102546,0.100911,0.39503,0.400852,0.397238
2.35,0.0873652,0.0987777,0.0969848,0.381534,0.383118,0.3797
2.4,0.0849444,0.0949318,0.0930444,0.367925,0.365458,0.362355
2.45,0.082441,0.0910239,0.0891043,0.354236,0.347928,0.345244
2.5,0.0798617,0.0870711,0.0851781,0.340503,0.330585,0.328408
2.55,0.0772142,0.0830911,0.0812789,0.326763,0.313485,0.311884
2.6,0.0745074,0.0791021,0.077419,0.313054,0.296681,0.295709
2.65,0.0717509,0.0751227,0.0736101,0.299416,0.280227,0.279912
2.7,0.0689551,0.0711716,0.0698631,0.285887,0.264169,0.264524
2.75,0.0661312,0.0672667,0.066188,0.272505,0.248551,0.24957
2.8,0.0632907,0.0634253,0.0625939,0.25931,0.233415,0.235072
2.85,0.0604455,0.0596636,0.059089,0.246336,0.218794,0.22105
2.9,0.0576073,0.0559965,0.0556807,0.23362,0.204719,0.207519
2.95,0.0547882,0.0524374,0.0523753,0.221194,0.191211,0.194493
3,0.0519994,0.0489979,0.0491782,0.209087,0.178291,0.181982
3.05,0.049252,0.0456877,0.0460941,0.197326,0.165971,0.169992
3.1,0.0465563,0.0425147,0.0431265,0.185935,0.154258,0.158526
3.15,0.0439218,0.0394851,0.0402784,0.174934,0.143153,0.147588
3.2,0.0413571,0.036603,0.0375517,0.16434,0.132656,0.137175
3.25,0.0388697,0.033871,0.0349476,0.154165,0.122758,0.127283
3.3,0.0364661,0.03129,0.0324666,0.144421,0.11345,0.117908
3.35,0.0341518,0.0288593,0.0301086,0.135111,0.104717,0.10904
3.4,0.0319309,0.0265772,0.0278727,0.12624,0.0965417,0.100671
3.45,0.0298068,0.0244407,0.0257575,0.117807,0.0889058,0.0927887
3.5,0.0277814,0.0224458,0.0237611,0.109809,0.081788,0.0853806
3.55,0.025856,0.0205879,0.021881,0.102241,0.0751658,0.0784326
3.6,0.0240308,0.0188615,0.0201145,0.0950932,0.0690157,0.0719296
3.65,0.0223053,0.0172609,0.0184584,0.0883571,0.0633136,0.0658556
3.7,0.0206781,0.0157799,0.0169092,0.0820206,0.0580354,0.0601937
3.75,0.0191473,0.0144123,0.015463,0.0760707,0.0531565,0.0549268
3.8,0.0177105,0.0131515,0.014116,0.0704932,0.048653,0.0500371
3.85,0.0163648,0.0119911,0.0128641,0.0652732,0.0445013,0.0455066
3.9,0.0151068,0.0109247,0.0117029,0.0603951,0.0406785,0.0413174
3.95,0.013933,0.00994615,0.0106282,0.0558428,0.0371623,0.0374513
4,0.0128397,0.00904927,0.0096356,0.0516002,0.0339315,0.0338904
4.05,0.011823,0.00822826,0.00872066,0.047651,0.0309658,0.0306171
4.1,0.0108789,0.00747752,0.00787907,0.0439792,0.0282458,0.0276139
4.15,0.0100036,0.00679174,0.00710651,0.0405689,0.0257532,0.024864
4.2,0.00919292,0.00616587,0.00639875,0.0374046,0.0234708,0.0223507
4.25,0.00844312,0.00559517,0.00575164,0.0344713,0.0213822,0.0200581
4.3,0.00775035,0.0050752,0.00516118,0.0317545,0.0194723,0.0179709
4.35,0.00711093,0.00460177,0.00462346,0.0292402,0.0177268,0.0160741
4.4,0.00652132,0.00417103,0.00413473,0.026915,0.0161325,0.0143538
4.45,0.0059781,0.00377935,0.0036914,0.0247663,0.0146771,0.0127964
4.5,0.00547803,0.00342339,0.00329002,0.0227817,0.0133492,0.0113891
4.55,0.00501801,0.00310008,0.00292734,0.02095,0.012138,0.0101199
4.6,0.00459513,0.00280655,0.00260025,0.0192602,0.0110338,0.00897725
4.65,0.00420663,0.00254018,0.00230582,0.0177022,0.0100277,0.0079505
4.7,0.00384992,0.00229855,0.00204129,0.0162663,0.00911108,0.0070296
4.75,0.00352258,0.00207946,0.00180407,0.0149436,0.00827642,0.00620513
4.8,0.00322232,0.00188086,0.00159175,0.0137255,0.00751661,0.00546836
4.85,0.00294702,0.0017009,0.00140207,0.0126044,0.00682515,0.00481116
4.9,0.00269473,0.00153788,0.00123292,0.0115727,0.00619607,0.00422599
4.95,0.00246359,0.00139024,0.00108238,0.0106237,0.00562391,0.00370591
5,0.00225192,0.00125657,0.000948628,0.00975094,0.00510365,0.00324451
5.05,0.00205812,0.00113558,0.000830024,0.0089486,0.00463069,0.00283591
5.1,0.00188075,0.00102609,0.000725042,0.00821115,0.00420084,0.00247471
5.15,0.00171844,0.000927017,0.000632288,0.00753352,0.00381026,0.00215598
5.2,0.00156997,0.000837399,0.000550485,0.00691098,0.00345543,0.00187524
5.25,0.00143417,0.000756346,0.000478473,0.00633917,0.00313314,0.0016284
5.3,0.00130999,0.000683051,0.000415193,0.00581405,0.00284048,0.00141174
5.35,0.00119646,0.000616784,0.000359688,0.00533191,0.00257476,0.00122192
5.4,0.00109268,0.00055688,0.000311089,0.0048893,0.00233354,0.0010559
5.45,0.000997831,0.000502736,0.000268613,0.00448303,0.00211462,0.000910949
5.5,0.000911154,0.000453805,0.000231556,0.00411018,0.00191596,0.000784623
5.55,0.000831955,0.00040959,0.000199283,0.00376804,0.00173571,0.000674717
5.6,0.000759598,0.000369644,0.000171226,0.00345413,0.0015722,0.000579266
5.65,0.000693498,0.000333558,0.000146879,0.00316615,0.00142389,0.000496512
5.7,0.000633121,0.000300963,0.000125787,0.00290198,0.00128939,0.00042489
5.75,0.000577976,0.000271525,0.000107547,0.00265969,0.00116743,0.000363012
5.8,0.000527614,0.000244941,9.18027e-05,0.00243748,0.00105686,0.000309644
5.85,0.000481623,0.000220937,7.8235e-05,0.00223371,0.000956639,0.000263695
5.9,0.000439626,0.000199265,6.65638e-05,0.00204686,0.000865798,0.000224202
5.95,0.00040128,0.0001797,5.65415e-05,0.00187555,0.000783477,0.000190316
6,0.000366269,0.00016204,4.795e-05,0.00171848,0.000708885,0.000161291
6.05,0.000334304,0.0001461,4.05979e-05,0.0015745,0.000641307,0.000136473
6.1,0.000305122,0.000131715,3.43173e-05,0.00144251,0.000580091,0.000115287
6.15,0.000278481,0.000118735,2.89613e-05,0.00132153,0.000524646,9.72338e-05
6.2,0.000254162,0.000107022,2.44015e-05,0.00121064,0.000474434,8.18756e-05
6.25,0.000231962,9.64546e-05,2.05264e-05,0.00110902,0.000428968,6.88325e-05
6.3,0.000211698,8.69216e-05,1.72387e-05,0.00101588,0.000387805,5.77743e-05
6.35,0.000193202,7.83225e-05,1.44542e-05,0.000930534,0.000350542,4.84149e-05
6.4,0.00017632,7.05666e-05,1.20999e-05,0.000852325,0.000316814,4.05066e-05
6.45,0.00016091,6.35719e-05,1.01127e-05,0.000780661,0.00028629,3.38358e-05
6.5,0.000146846,5.72642e-05,8.43825e-06,0.000714998,0.000258669,2.82183e-05
6.55,0.00013401,5.15767e-05,7.02971e-06,0.000654837,0.000233679,2.34958e-05
6.6,0.000122295,4.64489e-05,5.84685e-06,0.000599718,0.000211072,1.95324e-05
6.65,0.000111603,4.18261e-05,4.85521e-06,0.000549222,0.000190623,1.62115e-05
6.7,0.000101844,3.76591e-05,4.02527e-06,0.000502962,0.00017213,1.34338e-05
6.75,9.2939e-05,3.39032e-05,3.33184e-06,0.000460585,0.000155406,1.11143e-05
6.8,8.48117e-05,3.05183e-05,2.75344e-06,0.000421766,0.000140285,9.18057e-06
6.85,7.73947e-05,2.7468e-05,2.2718e-06,0.000386208,0.000126616,7.5712e-06
6.9,7.0626e-05,2.47196e-05,1.87141e-06,0.000353638,0.00011426,6.23401e-06
6.95,6.44489e-05,2.22434e-05,1.53911e-06,0.000323807,0.000103093,5.12481e-06
7,5.88118e-05,2.00126e-05,1.2638e-06,0.000296484,9.30025e-05,4.20626e-06
7.05,5.36676e-05,1.80033e-05,1.03607e-06,0.000271459,8.38853e-05,3.44686e-06
7.1,4.89731e-05,1.61935e-05,8.48018e-07,0.000248541,7.56489e-05,2.82007e-06
7.15,4.46892e-05,1.45637e-05,6.92991e-07,0.000227551,6.82093e-05,2.30359e-06
7.2,4.07798e-05,1.30962e-05,5.65401e-07,0.00020833,6.14905e-05,1.87872e-06
7.25,3.72124e-05,1.17748e-05,4.60567e-07,0.000190727,5.54236e-05,1.52977e-06
7.3,3.39569e-05,1.05853e-05,3.74572e-07,0.000174608,4.99461e-05,1.24366e-06
7.35,3.09862e-05,9.51452e-06,3.04149e-07,0.000159848,4.50015e-05,1.00946e-06
7.4,2.82753e-05,8.55079e-06,2.46573e-07,0.000146332,4.05387e-05,8.18065e-07
7.45,2.58015e-05,7.6835e-06,1.99578e-07,0.000133956,3.65114e-05,6.61908e-07
7.5,2.35441e-05,6.9031e-06,1.61283e-07,0.000122624,3.28777e-05,5.34711e-07
7.55,2.14842e-05,6.20097e-06,1.30129e-07,0.000112248,2.95996e-05,4.31274e-07
7.6,1.96045e-05,5.56934e-06,1.04826e-07,0.000102748,2.66428e-05,3.47295e-07
7.65,1.78892e-05,5.00121e-06,8.43094e-08,9.405e-05,2.39763e-05,2.79228e-07
7.7,1.6324e-05,4.49026e-06,6.77006e-08,8.60867e-05,2.1572e-05,2.24146e-07
7.75,1.48957e-05,4.03081e-06,5.42774e-08,7.87962e-05,1.94045e-05,1.79646e-07
7.8,1.35923e-05,3.61771e-06,4.34468e-08,7.21216e-05,1.74509e-05,1.43753e-07
7.85,1.2403e-05,3.24635e-06,3.47223e-08,6.60111e-05,1.56903e-05,1.1485e-07
7.9,1.13178e-05,2.91256e-06,2.77058e-08,6.04172e-05,1.41039e-05,9.16133e-08
7.95,1.03275e-05,2.61258e-06,2.20721e-08,5.52963e-05,1.26749e-05,7.29628e-08
8,9.4238e-06,2.34302e-06,1.75563e-08,5.06086e-05,1.13878e-05,5.80176e-08
