b,Tab_2pF,Tab_3pF,Ncoll_2pF,Ncoll_3pF,Npart_2pF,Npart_3pF,dNch_2pF,dNch_3pF
0,7.61508,7.8758,53.3055,55.1306,28.0517,28.2215,130.099,132.215
0.1,7.6082,7.86847,53.2574,55.0793,28.0362,28.2056,130.011,132.122
0.2,7.58761,7.84653,53.1133,54.9257,27.9896,28.1578,129.745,131.845
0.3,7.55342,7.81011,52.874,54.6708,27.912,28.0783,129.304,131.385
0.4,7.50584,7.75942,52.5409,54.3159,27.8036,27.9672,128.689,130.742
0.5,7.44512,7.69475,52.1159,53.8633,27.6645,27.8246,127.902,129.92
0.6,7.37162,7.61648,51.6014,53.3153,27.4949,27.6507,126.945,128.921
0.7,7.28574,7.52504,51.0002,52.6753,27.2951,27.4458,125.823,127.75
0.8,7.18795,7.42095,50.3156,51.9467,27.0655,27.2103,124.539,126.409
0.9,7.07877,7.30478,49.5514,51.1335,26.8065,26.9446,123.097,124.904
1,6.95879,7.17716,48.7115,50.2401,26.5187,26.6492,121.503,123.241
1.1,6.82862,7.03875,47.8003,49.2712,26.2027,26.3248,119.763,121.425
1.2,6.68892,6.89028,46.8224,48.2319,25.8591,25.9722,117.882,119.463
1.3,6.54038,6.73249,45.7826,47.1274,25.4888,25.592,115.868,117.362
1.4,6.38371,6.56615,44.686,45.9631,25.0928,25.1853,113.727,115.129
1.5,6.21965,6.39208,43.5375,44.7445,24.6719,24.753,111.467,112.774
1.6,6.04894,6.21107,42.3426,43.4775,24.2273,24.2963,109.095,110.303
1.7,5.87234,6.02394,41.1063,42.1676,23.7601,23.8164,106.62,107.725
1.8,5.6906,5.83152,39.8342,40.8206,23.2716,23.3147,104.051,105.05
1.9,5.50448,5.63463,38.5314,39.4424,22.7631,22.7923,101.395,102.287
2,5.31473,5.43407,37.2031,38.0385,22.236,22.2509,98.6617,99.4442
2.1,5.1221,5.23066,35.8547,36.6146,21.6917,21.6918,95.8595,96.5317
2.2,4.9273,5.02517,34.4911,35.1762,21.1316,21.1167,92.9974,93.5589
2.3,4.73104,4.81838,33.1173,33.7287,20.5573,20.527,90.0841,90.5351
2.4,4.53402,4.61103,31.7382,32.2772,19.9702,19.9245,87.1285,87.4696
2.5,4.33691,4.40384,30.3584,30.8269,19.372,19.3107,84.1393,84.3719
2.6,4.14036,4.1975,28.9825,29.3825,18.7643,18.6872,81.1252,81.2509
2.7,3.94497,3.99268,27.6148,27.9487,18.1484,18.0558,78.0945,78.1158
2.8,3.75135,3.79001,26.2594,26.5301,17.5261,17.4181,75.0556,74.9753
2.9,3.56005,3.59009,24.9204,25.1306,16.8989,16.7757,72.0166,71.8379
3,3.37162,3.39348,23.6013,23.7543,16.2684,16.1302,68.9854,68.7121
3.1,3.18654,3.20071,22.3058,22.4049,15.636,15.4834,65.9695,65.6058
3.2,3.00529,3.01226,21.037,21.0858,15.0033,14.8367,62.9764,62.5268
3.3,2.82829,2.82859,19.798,19.8002,14.3718,14.1918,60.0132,59.4826
3.4,2.65594,2.65011,18.5916,18.5508,13.743,13.5501,57.0866,56.4802
3.5,2.4886,2.47718,17.4202,17.3403,13.1182,12.9133,54.2032,53.5264
3.6,2.32659,2.31013,16.2861,16.1709,12.499,12.2828,51.369,50.6277
3.7,2.1702,2.14924,15.1914,15.0447,11.8866,11.6601,48.5899,47.7899
3.8,2.01966,1.99474,14.1376,13.9632,11.2825,11.0464,45.8714,45.0188
3.9,1.87519,1.84685,13.1264,12.9279,10.6879,10.4433,43.2185,42.3195
4,1.73696,1.7057,12.1587,11.9399,10.104,9.85194,40.6361,39.6969
4.1,1.60508,1.57141,11.2355,10.9998,9.53216,9.27363,38.1283,37.1553
4.2,1.47964,1.44404,10.3575,10.1083,8.97337,8.70954,35.6993,34.6985
4.3,1.3607,1.32362,9.52491,9.26534,8.42879,8.16077,33.3524,32.3301
4.4,1.24827,1.21014,8.73788,8.47095,7.89942,7.62838,31.0908,30.0531
4.5,1.14232,1.10353,7.99623,7.72473,7.38622,7.11333,28.9171,27.8699
4.6,1.04279,1.00372,7.29952,7.02604,6.89008,6.61649,26.8336,25.7826
4.7,0.949588,0.910569,6.64712,6.37398,6.41177,6.13864,24.8421,23.7927
4.8,0.86259,0.823924,6.03813,5.76747,5.95201,5.68048,22.9438,21.9013
4.9,0.781641,0.743597,5.47149,5.20518,5.5114,5.24256,21.1395,20.1089
5,0.706562,0.669373,4.94594,4.68561,5.09045,4.82536,19.4298,18.4155
5.1,0.637149,0.601018,4.46004,4.20713,4.68954,4.42922,17.8144,16.8207
5.2,0.573179,0.538275,4.01225,3.76792,4.30897,4.05434,16.2928,15.3236
5.3,0.514411,0.480873,3.60088,3.36611,3.94888,3.70084,14.864,13.9227
5.4,0.460592,0.428529,3.22415,2.9997,3.60934,3.36866,13.5266,12.6162
5.5,0.411459,0.380952,2.88021,2.66666,3.29025,3.05764,12.2787,11.4018
5.6,0.366741,0.337846,2.56719,2.36492,2.99143,2.7675,11.118,10.2769
